RedFighter,BlueFighter,Location,TotalFightTimeSecs,FinishRoundTime,WeightClass,Date,Winner,FinishDetails,Finish
Alexandre Pantoja,Kai Asakura,"Las Vegas, Nevada, USA",425.0,2:05,Flyweight,2024-12-07,Red,Rear Naked Choke,SUB
Shavkat Rakhmonov,Ian Machado Garry,"Las Vegas, Nevada, USA",1500.0,5:00,Welterweight,2024-12-07,Red,,U-DEC
Ciryl Gane,Alexander Volkov,"Las Vegas, Nevada, USA",900.0,5:00,Heavyweight,2024-12-07,Red,,S-DEC
Bryce Mitchell,Kron Gracie,"Las Vegas, Nevada, USA",639.0,0:39,Featherweight,2024-12-07,Red,Elbows,KO/TKO
Nate Landwehr,Dooho Choi,"Las Vegas, Nevada, USA",801.0,3:21,Featherweight,2024-12-07,Blue,Elbows,KO/TKO
Dominick Reyes,Anthony Smith,"Las Vegas, Nevada, USA",586.0,4:46,Light Heavyweight,2024-12-07,Red,Punches,KO/TKO
Vicente Luque,Themba Gorimbo,"Las Vegas, Nevada, USA",52.0,0:52,Welterweight,2024-12-07,Red,Anaconda Choke,SUB
Movsar Evloev,Aljamain Sterling,"Las Vegas, Nevada, USA",900.0,5:00,Featherweight,2024-12-07,Red,,U-DEC
Randy Brown,Bryan Battle,"Las Vegas, Nevada, USA",900.0,5:00,Welterweight,2024-12-07,Blue,,S-DEC
Chris Weidman,Eryk Anders,"Las Vegas, Nevada, USA",591.0,4:51,Catch Weight,2024-12-07,Blue,Punches,KO/TKO
Cody Durden,Joshua Van,"Las Vegas, Nevada, USA",900.0,5:00,Flyweight,2024-12-07,Blue,,U-DEC
Michael Chiesa,Max Griffin,"Las Vegas, Nevada, USA",716.0,1:56,Welterweight,2024-12-07,Red,Rear Naked Choke,SUB
Clay Guida,Chase Hooper,"Las Vegas, Nevada, USA",221.0,3:41,Lightweight,2024-12-07,Blue,Armbar,SUB
Kennedy Nzechukwu,Lukasz Brzeski,"Las Vegas, Nevada, USA",291.0,4:51,Heavyweight,2024-12-07,Red,Punch,KO/TKO
Petr Yan,Deiveson Figueiredo,"Macau, China",1500.0,5:00,Bantamweight,2024-11-23,Red,,U-DEC
Yan Xiaonan,Tabatha Ricci,"Macau, China",900.0,5:00,Women's Strawweight,2024-11-23,Red,,U-DEC
Song Kenan,Muslim Salikhov,"Macau, China",229.0,3:49,Welterweight,2024-11-23,Blue,Kick,KO/TKO
Wang Cong,Gabriella Fernandes,"Macau, China",529.0,3:49,Women's Flyweight,2024-11-23,Blue,Rear Naked Choke,SUB
Volkan Oezdemir,Carlos Ulberg,"Macau, China",900.0,5:00,Light Heavyweight,2024-11-23,Blue,,U-DEC
Zhang Mingyang,Ozzy Diaz,"Macau, China",145.0,2:25,Light Heavyweight,2024-11-23,Red,Elbow,KO/TKO
Baergeng Jieleyisi,SuYoung You,"Macau, China",900.0,5:00,Bantamweight,2024-11-23,Blue,,U-DEC
Kiru Sahota,DongHun Choi,"Macau, China",156.0,2:36,Flyweight,2024-11-23,Blue,Punch,KO/TKO
Shi Ming,Feng Xiaocan,"Macau, China",646.0,0:46,Women's Strawweight,2024-11-23,Red,Kick,KO/TKO
Nyamjargal Tumendemberel,Carlos Hernandez,"Macau, China",900.0,5:00,Flyweight,2024-11-23,Blue,,S-DEC
Lone'er Kavanagh,Jose Ochoa,"Macau, China",900.0,5:00,Flyweight,2024-11-23,Red,,U-DEC
Xiao Long,Quang Le,"Macau, China",688.0,1:28,Bantamweight,2024-11-23,Red,Punch,KO/TKO
Maheshate,Nikolas Motta,"Macau, China",900.0,5:00,Lightweight,2024-11-23,Blue,,U-DEC
Jon Jones,Stipe Miocic,"New York City, New York, USA",869.0,4:29,Heavyweight,2024-11-16,Red,Spinning Back Kick,KO/TKO
Charles Oliveira,Michael Chandler,"New York City, New York, USA",1500.0,5:00,Lightweight,2024-11-16,Red,,U-DEC
Bo Nickal,Paul Craig,"New York City, New York, USA",900.0,5:00,Middleweight,2024-11-16,Red,,U-DEC
Viviane Araujo,Karine Silva,"New York City, New York, USA",900.0,5:00,Women's Flyweight,2024-11-16,Red,,U-DEC
Mauricio Ruffy,James Llontop,"New York City, New York, USA",900.0,5:00,Catch Weight,2024-11-16,Red,,U-DEC
Jonathan Martinez,Marcus McGhee,"New York City, New York, USA",900.0,5:00,Bantamweight,2024-11-16,Blue,,U-DEC
Jim Miller,Damon Jackson,"New York City, New York, USA",164.0,2:44,Lightweight,2024-11-16,Red,Guillotine Choke,SUB
David Onama,Roberto Romero,"New York City, New York, USA",900.0,5:00,Lightweight,2024-11-16,Red,,U-DEC
Marcin Tybura,Jhonata Diniz,"New York City, New York, USA",600.0,5:00,Heavyweight,2024-11-16,Red,,KO/TKO
Mickey Gall,Ramiz Brahimaj,"New York City, New York, USA",175.0,2:55,Welterweight,2024-11-16,Blue,Punch,KO/TKO
Bassil Hafez,Oban Elliott,"New York City, New York, USA",640.0,0:40,Welterweight,2024-11-16,Blue,Punch,KO/TKO
Veronica Hardy,Eduarda Moura,"New York City, New York, USA",900.0,5:00,Women's Flyweight,2024-11-16,Blue,,U-DEC
Neil Magny,Carlos Prates,"Las Vegas, Nevada, USA",290.0,4:50,Welterweight,2024-11-09,Blue,Punch,KO/TKO
Gerald Meerschaert,Reinier de Ridder,"Las Vegas, Nevada, USA",704.0,1:44,Middleweight,2024-11-09,Blue,Arm Triangle,SUB
Gaston Bolanos,Cortavious Romious,"Las Vegas, Nevada, USA",900.0,5:00,Bantamweight,2024-11-09,Red,,U-DEC
Luana Pinheiro,Gillian Robertson,"Las Vegas, Nevada, USA",900.0,5:00,Women's Strawweight,2024-11-09,Blue,,U-DEC
Mansur Abdul-Malik,Dusko Todorovic,"Las Vegas, Nevada, USA",164.0,2:44,Middleweight,2024-11-09,Red,Punches,KO/TKO
Karolina Kowalkiewicz,Denise Gomes,"Las Vegas, Nevada, USA",900.0,5:00,Women's Strawweight,2024-11-09,Blue,,U-DEC
Elizeu Zaleski dos Santos,Zachary Scroggin,"Las Vegas, Nevada, USA",75.0,1:15,Welterweight,2024-11-09,Red,Punches,KO/TKO
Matthew Semelsberger,Charles Radtke,"Las Vegas, Nevada, USA",51.0,0:51,Welterweight,2024-11-09,Blue,Punches,KO/TKO
Cody Stamann,Da'Mon Blackshear,"Las Vegas, Nevada, USA",259.0,4:19,Bantamweight,2024-11-09,Blue,Rear Naked Choke,SUB
Tresean Gore,Antonio Trocoli,"Las Vegas, Nevada, USA",83.0,1:23,Middleweight,2024-11-09,Red,Guillotine Choke,SUB
Melissa Mullins,Klaudia Sygula,"Las Vegas, Nevada, USA",380.0,1:20,Women's Bantamweight,2024-11-09,Red,Punches,KO/TKO
Brandon Moreno,Amir Albazi,"Edmonton, Alberta, Canada",1500.0,5:00,Flyweight,2024-11-02,Red,,U-DEC
Erin Blanchfield,Rose Namajunas,"Edmonton, Alberta, Canada",1500.0,5:00,Women's Flyweight,2024-11-02,Red,,U-DEC
Caio Machado,Brendson Ribeiro,"Edmonton, Alberta, Canada",900.0,5:00,Light Heavyweight,2024-11-02,Blue,,S-DEC
Ariane da Silva,Jasmine Jasudavicius,"Edmonton, Alberta, Canada",748.0,2:28,Women's Flyweight,2024-11-02,Blue,D'Arce Choke,SUB
Marc-Andre Barriault,Dustin Stoltzfus,"Edmonton, Alberta, Canada",268.0,4:28,Middleweight,2024-11-02,Blue,Punch,KO/TKO
Mike Malott,Trevin Giles,"Edmonton, Alberta, Canada",900.0,5:00,Welterweight,2024-11-02,Red,,U-DEC
Aiemann Zahabi,Pedro Munhoz,"Edmonton, Alberta, Canada",900.0,5:00,Bantamweight,2024-11-02,Red,,U-DEC
Charles Jourdain,Victor Henry,"Edmonton, Alberta, Canada",523.0,3:43,Bantamweight,2024-11-02,Red,Guillotine Choke,SUB
Jack Shore,Youssef Zalal,"Edmonton, Alberta, Canada",359.0,0:59,Featherweight,2024-11-02,Blue,Arm Triangle,SUB
Alexandr Romanov,Rodrigo Nascimento,"Edmonton, Alberta, Canada",900.0,5:00,Heavyweight,2024-11-02,Red,,U-DEC
Serhiy Sidey,Garrett Armfield,"Edmonton, Alberta, Canada",900.0,5:00,Bantamweight,2024-11-02,Red,,S-DEC
Chad Anheliger,Cody Gibson,"Edmonton, Alberta, Canada",900.0,5:00,Bantamweight,2024-11-02,Blue,,U-DEC
Jamey-Lyn Horth,Ivana Petrovic,"Edmonton, Alberta, Canada",900.0,5:00,Women's Flyweight,2024-11-02,Red,,S-DEC
Ilia Topuria,Max Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",694.0,1:34,Featherweight,2024-10-26,Red,Punch,KO/TKO
Robert Whittaker,Khamzat Chimaev,"Abu Dhabi, Abu Dhabi, United Arab Emirates",214.0,3:34,Middleweight,2024-10-26,Blue,Rear Naked Choke,SUB
Magomed Ankalaev,Aleksandar Rakic,"Abu Dhabi, Abu Dhabi, United Arab Emirates",900.0,5:00,Light Heavyweight,2024-10-26,Red,,U-DEC
Lerone Murphy,Dan Ige,"Abu Dhabi, Abu Dhabi, United Arab Emirates",900.0,5:00,Featherweight,2024-10-26,Red,,U-DEC
Shara Magomedov,Armen Petrosyan,"Abu Dhabi, Abu Dhabi, United Arab Emirates",592.0,4:52,Middleweight,2024-10-26,Red,Spinning Back Fist,KO/TKO
Ibo Aslan,Rafael Cerqueira,"Abu Dhabi, Abu Dhabi, United Arab Emirates",51.0,0:51,Light Heavyweight,2024-10-26,Red,Punches,KO/TKO
Geoff Neal,Rafael Dos Anjos,"Abu Dhabi, Abu Dhabi, United Arab Emirates",90.0,1:30,Welterweight,2024-10-26,Red,,KO/TKO
Mateusz Rebecki,Myktybek Orolbai,"Abu Dhabi, Abu Dhabi, United Arab Emirates",900.0,5:00,Catch Weight,2024-10-26,Red,,S-DEC
Abus Magomedov,Brunno Ferreira,"Abu Dhabi, Abu Dhabi, United Arab Emirates",794.0,3:14,Middleweight,2024-10-26,Red,Arm Triangle,SUB
Kennedy Nzechukwu,Chris Barnett,"Abu Dhabi, Abu Dhabi, United Arab Emirates",267.0,4:27,Heavyweight,2024-10-26,Red,Knee,KO/TKO
Farid Basharat,Victor Hugo,"Abu Dhabi, Abu Dhabi, United Arab Emirates",900.0,5:00,Featherweight,2024-10-26,Red,,U-DEC
Ismail Naurdiev,Bruno Silva,"Abu Dhabi, Abu Dhabi, United Arab Emirates",900.0,5:00,Middleweight,2024-10-26,Red,,U-DEC
Rinat Fakhretdinov,Carlos Leal,"Abu Dhabi, Abu Dhabi, United Arab Emirates",900.0,5:00,Welterweight,2024-10-26,Red,,U-DEC
Anthony Hernandez,Michel Pereira,"Las Vegas, Nevada, USA",1342.0,2:22,Middleweight,2024-10-19,Red,Elbows,KO/TKO
Rob Font,Kyler Phillips,"Las Vegas, Nevada, USA",900.0,5:00,Bantamweight,2024-10-19,Red,,U-DEC
Charles Johnson,Sumudaerji,"Las Vegas, Nevada, USA",900.0,5:00,Flyweight,2024-10-19,Red,,U-DEC
Jake Hadley,Cameron Smotherman,"Las Vegas, Nevada, USA",900.0,5:00,Bantamweight,2024-10-19,Blue,,U-DEC
Darren Elkins,Daniel Pineda,"Las Vegas, Nevada, USA",900.0,5:00,Featherweight,2024-10-19,Red,,U-DEC
Matheus Nicolau,Asu Almabayev,"Las Vegas, Nevada, USA",900.0,5:00,Flyweight,2024-10-19,Blue,,U-DEC
Brad Katona,Jean Matsumoto,"Las Vegas, Nevada, USA",900.0,5:00,Bantamweight,2024-10-19,Blue,,U-DEC
Joselyne Edwards,Tamires Vidal,"Las Vegas, Nevada, USA",873.0,4:33,Women's Bantamweight,2024-10-19,Red,Rear Naked Choke,SUB
Jessica Penne,Elise Reed,"Las Vegas, Nevada, USA",900.0,5:00,Women's Strawweight,2024-10-19,Blue,,U-DEC
Melissa Martinez,Alice Ardelean,"Las Vegas, Nevada, USA",900.0,5:00,Women's Strawweight,2024-10-19,Red,,U-DEC
Austen Lane,Robelis Despaigne,"Las Vegas, Nevada, USA",900.0,5:00,Heavyweight,2024-10-19,Red,,U-DEC
Brandon Royval,Tatsuro Taira,"Las Vegas, Nevada, USA",1500.0,5:00,Flyweight,2024-10-12,Red,,S-DEC
Brad Tavares,JunYong Park,"Las Vegas, Nevada, USA",900.0,5:00,Middleweight,2024-10-12,Blue,,S-DEC
Chidi Njokuani,Jared Gooden,"Las Vegas, Nevada, USA",900.0,5:00,Welterweight,2024-10-12,Red,,U-DEC
Grant Dawson,Rafa Garcia,"Las Vegas, Nevada, USA",402.0,1:42,Lightweight,2024-10-12,Red,Punches,KO/TKO
Daniel Rodriguez,Alex Morono,"Las Vegas, Nevada, USA",900.0,5:00,Welterweight,2024-10-12,Red,,S-DEC
CJ Vergara,Ramazan Temirov,"Las Vegas, Nevada, USA",170.0,2:50,Flyweight,2024-10-12,Blue,Punch,KO/TKO
Jonathan Pearce,Pat Sabatini,"Las Vegas, Nevada, USA",246.0,4:06,Featherweight,2024-10-12,Blue,Rear Naked Choke,SUB
Themba Gorimbo,Niko Price,"Las Vegas, Nevada, USA",900.0,5:00,Welterweight,2024-10-12,Red,,U-DEC
Junior Tafa,Sean Sharaf,"Las Vegas, Nevada, USA",435.0,2:15,Heavyweight,2024-10-12,Red,Punches,KO/TKO
Julia Polastri,Cory McKenna,"Las Vegas, Nevada, USA",900.0,5:00,Women's Strawweight,2024-10-12,Red,,S-DEC
Dan Argueta,Cody Haddon,"Las Vegas, Nevada, USA",900.0,5:00,Bantamweight,2024-10-12,Blue,,U-DEC
Clayton Carpenter,Lucas Rocha,"Las Vegas, Nevada, USA",432.0,2:12,Flyweight,2024-10-12,Red,Rear Naked Choke,SUB
Alex Pereira,Khalil Rountree Jr.,"Salt Lake City, Utah, USA",1172.0,4:32,Light Heavyweight,2024-10-05,Red,Punch,KO/TKO
Raquel Pennington,Julianna Pena,"Salt Lake City, Utah, USA",1500.0,5:00,Women's Bantamweight,2024-10-05,Blue,,S-DEC
Jose Aldo,Mario Bautista,"Salt Lake City, Utah, USA",900.0,5:00,Bantamweight,2024-10-05,Blue,,S-DEC
Roman Dolidze,Kevin Holland,"Salt Lake City, Utah, USA",300.0,5:00,Middleweight,2024-10-05,Red,,KO/TKO
Ketlen Vieira,Kayla Harrison,"Salt Lake City, Utah, USA",900.0,5:00,Women's Bantamweight,2024-10-05,Blue,,U-DEC
Stephen Thompson,Joaquin Buckley,"Salt Lake City, Utah, USA",737.0,2:17,Welterweight,2024-10-05,Blue,Punch,KO/TKO
Marina Rodriguez,Iasmin Lucindo,"Salt Lake City, Utah, USA",900.0,5:00,Women's Strawweight,2024-10-05,Blue,,S-DEC
Austin Hubbard,Alexander Hernandez,"Salt Lake City, Utah, USA",900.0,5:00,Lightweight,2024-10-05,Blue,,S-DEC
Cesar Almeida,Ihor Potieria,"Salt Lake City, Utah, USA",900.0,5:00,Middleweight,2024-10-05,Red,,U-DEC
Ryan Spann,Ovince Saint Preux,"Salt Lake City, Utah, USA",95.0,1:35,Light Heavyweight,2024-10-05,Red,Guillotine Choke,SUB
Carla Esparza,Tecia Pennington,"Salt Lake City, Utah, USA",900.0,5:00,Women's Strawweight,2024-10-05,Blue,,U-DEC
Court McGee,Tim Means,"Salt Lake City, Utah, USA",199.0,3:19,Welterweight,2024-10-05,Red,Rear Naked Choke,SUB
Renato Moicano,Benoit Saint Denis,"Paris, Ile-de-France, France",600.0,5:00,Lightweight,2024-09-28,Red,,KO/TKO
Nassourdine Imavov,Brendan Allen,"Paris, Ile-de-France, France",900.0,5:00,Middleweight,2024-09-28,Red,,U-DEC
William Gomis,Joanderson Brito,"Paris, Ile-de-France, France",900.0,5:00,Featherweight,2024-09-28,Red,,S-DEC
Kevin Jousset,Bryan Battle,"Paris, Ile-de-France, France",527.0,3:47,Welterweight,2024-09-28,Blue,Punches,KO/TKO
Morgan Charriere,Gabriel Miranda,"Paris, Ile-de-France, France",327.0,0:27,Featherweight,2024-09-28,Red,Punch,KO/TKO
Fares Ziam,Matt Frevola,"Paris, Ile-de-France, France",779.0,2:59,Lightweight,2024-09-28,Red,Knee,KO/TKO
Ion Cutelaba,Ivan Erslan,"Paris, Ile-de-France, France",900.0,5:00,Light Heavyweight,2024-09-28,Red,,S-DEC
Oumar Sy,Da Woon Jung,"Paris, Ile-de-France, France",900.0,5:00,Light Heavyweight,2024-09-28,Red,,U-DEC
Ludovit Klein,Roosevelt Roberts,"Paris, Ile-de-France, France",900.0,5:00,Lightweight,2024-09-28,Red,,U-DEC
Taylor Lapilus,Vince Morales,"Paris, Ile-de-France, France",900.0,5:00,Bantamweight,2024-09-28,Red,,U-DEC
Ailin Perez,Daria Zhelezniakova,"Paris, Ile-de-France, France",232.0,3:52,Women's Bantamweight,2024-09-28,Red,Arm Triangle,SUB
Daniel Barez,Victor Altamirano,"Paris, Ile-de-France, France",900.0,5:00,Flyweight,2024-09-28,Red,,U-DEC
Nora Cornolle,Jacqueline Cavalcanti,"Paris, Ile-de-France, France",900.0,5:00,Women's Bantamweight,2024-09-28,Blue,,S-DEC
Bolaji Oki,Chris Duncan,"Paris, Ile-de-France, France",214.0,3:34,Lightweight,2024-09-28,Blue,Guillotine Choke,SUB
Sean O'Malley,Merab Dvalishvili,"Las Vegas, Nevada, USA",1500.0,5:00,Bantamweight,2024-09-14,Blue,,U-DEC
Alexa Grasso,Valentina Shevchenko,"Las Vegas, Nevada, USA",1500.0,5:00,Women's Flyweight,2024-09-14,Blue,,U-DEC
Brian Ortega,Diego Lopes,"Las Vegas, Nevada, USA",900.0,5:00,Featherweight,2024-09-14,Blue,,U-DEC
Daniel Zellhuber,Esteban Ribovics,"Las Vegas, Nevada, USA",900.0,5:00,Lightweight,2024-09-14,Blue,,S-DEC
Ronaldo Rodriguez,Ode Osbourne,"Las Vegas, Nevada, USA",900.0,5:00,Flyweight,2024-09-14,Red,,U-DEC
Irene Aldana,Norma Dumont,"Las Vegas, Nevada, USA",900.0,5:00,Women's Bantamweight,2024-09-14,Blue,,U-DEC
Manuel Torres,Ignacio Bahamondes,"Las Vegas, Nevada, USA",242.0,4:02,Lightweight,2024-09-14,Blue,Punch,KO/TKO
Yazmin Jauregui,Ketlen Souza,"Las Vegas, Nevada, USA",182.0,3:02,Women's Strawweight,2024-09-14,Blue,Rear Naked Choke,SUB
Edgar Chairez,Joshua Van,"Las Vegas, Nevada, USA",900.0,5:00,Flyweight,2024-09-14,Blue,,U-DEC
Raul Rosas Jr.,Aoriqileng,"Las Vegas, Nevada, USA",900.0,5:00,Bantamweight,2024-09-14,Red,,U-DEC
Gilbert Burns,Sean Brady,"Las Vegas, Nevada, USA",1500.0,5:00,Welterweight,2024-09-07,Blue,,U-DEC
Jessica Andrade,Natalia Silva,"Las Vegas, Nevada, USA",900.0,5:00,Women's Flyweight,2024-09-07,Blue,,U-DEC
Steve Garcia,Kyle Nelson,"Las Vegas, Nevada, USA",239.0,3:59,Featherweight,2024-09-07,Red,Elbows,KO/TKO
Matt Schnell,Cody Durden,"Las Vegas, Nevada, USA",329.0,0:29,Bantamweight,2024-09-07,Blue,Guillotine Choke,SUB
Trevor Peek,Yanal Ashmouz,"Las Vegas, Nevada, USA",900.0,5:00,Lightweight,2024-09-07,Blue,,U-DEC
Rongzhu,Chris Padilla,"Las Vegas, Nevada, USA",554.0,4:14,Lightweight,2024-09-07,Blue,,KO/TKO
Isaac Dulgarian,Brendon Marotte,"Las Vegas, Nevada, USA",559.0,4:19,Featherweight,2024-09-07,Red,Arm Triangle,SUB
Felipe dos Santos,Andre Lima,"Las Vegas, Nevada, USA",900.0,5:00,Flyweight,2024-09-07,Blue,,U-DEC
Yizha,Gabriel Santos,"Las Vegas, Nevada, USA",900.0,5:00,Featherweight,2024-09-07,Blue,,U-DEC
Jaqueline Amorim,Vanessa Demopoulos,"Las Vegas, Nevada, USA",208.0,3:28,Women's Strawweight,2024-09-07,Red,Armbar,SUB
Andre Petroski,Dylan Budka,"Las Vegas, Nevada, USA",900.0,5:00,Middleweight,2024-09-07,Red,,U-DEC
Zygimantas Ramaska,Nathan Fletcher,"Las Vegas, Nevada, USA",374.0,1:14,Featherweight,2024-09-07,Blue,Arm Triangle,SUB
Jared Cannonier,Caio Borralho,"Las Vegas, Nevada, USA",1500.0,5:00,Middleweight,2024-08-24,Blue,,U-DEC
Angela Hill,Tabatha Ricci,"Las Vegas, Nevada, USA",900.0,5:00,Women's Strawweight,2024-08-24,Blue,,U-DEC
Robert Valentin,Ryan Loder,"Las Vegas, Nevada, USA",409.0,1:49,Middleweight,2024-08-24,Blue,Elbows,KO/TKO
Kaan Ofli,Mairon Santos,"Las Vegas, Nevada, USA",390.0,1:30,Featherweight,2024-08-24,Blue,Punch,KO/TKO
Neil Magny,Michael Morales,"Las Vegas, Nevada, USA",279.0,4:39,Welterweight,2024-08-24,Blue,Punches,KO/TKO
Edmen Shahbazyan,Gerald Meerschaert,"Las Vegas, Nevada, USA",552.0,4:12,Middleweight,2024-08-24,Blue,Arm Triangle,SUB
Dennis Buzukja,Francis Marshall,"Las Vegas, Nevada, USA",900.0,5:00,Lightweight,2024-08-24,Blue,,S-DEC
Zachary Reese,Jose Daniel Medina,"Las Vegas, Nevada, USA",900.0,5:00,Middleweight,2024-08-24,Red,,U-DEC
Viacheslav Borshchev,James Llontop,"Las Vegas, Nevada, USA",900.0,5:00,Lightweight,2024-08-24,Red,,S-DEC
Jacqueline Cavalcanti,Josiane Nunes,"Las Vegas, Nevada, USA",900.0,5:00,Women's Bantamweight,2024-08-24,Red,,S-DEC
Wang Cong,Victoria Leonardo,"Las Vegas, Nevada, USA",62.0,1:02,Women's Flyweight,2024-08-24,Red,Punches,KO/TKO
Dricus Du Plessis,Israel Adesanya,"Perth, Western Australia, Australia",1118.0,3:38,Middleweight,2024-08-17,Red,Rear Naked Choke,SUB
Kai Kara-France,Steve Erceg,"Perth, Western Australia, Australia",244.0,4:04,Flyweight,2024-08-17,Red,Punch,KO/TKO
Mateusz Gamrot,Dan Hooker,"Perth, Western Australia, Australia",900.0,5:00,Lightweight,2024-08-17,Blue,,S-DEC
Tai Tuivasa,Jairzinho Rozenstruik,"Perth, Western Australia, Australia",900.0,5:00,Heavyweight,2024-08-17,Blue,,S-DEC
Li Jingliang,Carlos Prates,"Perth, Western Australia, Australia",542.0,4:02,Welterweight,2024-08-17,Blue,Punch,KO/TKO
Junior Tafa,Valter Walker,"Perth, Western Australia, Australia",296.0,4:56,Heavyweight,2024-08-17,Blue,Heel Hook,SUB
Josh Culibao,Ricardo Ramos,"Perth, Western Australia, Australia",900.0,5:00,Featherweight,2024-08-17,Blue,,S-DEC
Casey O'Neill,Luana Santos,"Perth, Western Australia, Australia",900.0,5:00,Women's Flyweight,2024-08-17,Red,,U-DEC
Jack Jenkins,Herbert Burns,"Perth, Western Australia, Australia",648.0,0:48,Featherweight,2024-08-17,Red,Punches,KO/TKO
Tom Nolan,Alex Reyes,"Perth, Western Australia, Australia",900.0,5:00,Lightweight,2024-08-17,Red,,U-DEC
Song Kenan,Ricky Glenn,"Perth, Western Australia, Australia",900.0,5:00,Welterweight,2024-08-17,Red,,U-DEC
Stewart Nicoll,Jesus Aguilar,"Perth, Western Australia, Australia",159.0,2:39,Flyweight,2024-08-17,Blue,Guillotine Choke,SUB
Marcin Tybura,Serghei Spivac,"Las Vegas, Nevada, USA",104.0,1:44,Heavyweight,2024-08-10,Blue,Armbar,SUB
Damon Jackson,Chepe Mariscal,"Las Vegas, Nevada, USA",900.0,5:00,Featherweight,2024-08-10,Blue,,U-DEC
Danny Barlow,Nikolay Veretennikov,"Las Vegas, Nevada, USA",900.0,5:00,Welterweight,2024-08-10,Red,,S-DEC
Chris Gutierrez,Quang Le,"Las Vegas, Nevada, USA",900.0,5:00,Bantamweight,2024-08-10,Red,,U-DEC
Yana Santos,Chelsea Chandler,"Las Vegas, Nevada, USA",900.0,5:00,Women's Bantamweight,2024-08-10,Red,,U-DEC
Toshiomi Kazama,Charalampos Grigoriou,"Las Vegas, Nevada, USA",415.0,1:55,Bantamweight,2024-08-10,Red,Triangle Choke,SUB
Karol Rosa,Pannie Kianzad,"Las Vegas, Nevada, USA",900.0,5:00,Women's Bantamweight,2024-08-10,Red,,U-DEC
Jhonata Diniz,Karl Williams,"Las Vegas, Nevada, USA",900.0,5:00,Heavyweight,2024-08-10,Red,,U-DEC
Youssef Zalal,Jarno Errens,"Las Vegas, Nevada, USA",232.0,3:52,Featherweight,2024-08-10,Red,Rear Naked Choke,SUB
Stephanie Luciano,Talita Alencar,"Las Vegas, Nevada, USA",900.0,5:00,Women's Strawweight,2024-08-10,Red,,U-DEC
Cory Sandhagen,Umar Nurmagomedov,"Abu Dhabi, Abu Dhabi, United Arab Emirates",1500.0,5:00,Bantamweight,2024-08-03,Blue,,U-DEC
Shara Magomedov,Michal Oleksiejczuk,"Abu Dhabi, Abu Dhabi, United Arab Emirates",900.0,5:00,Middleweight,2024-08-03,Red,,U-DEC
Marlon Vera,Deiveson Figueiredo,"Abu Dhabi, Abu Dhabi, United Arab Emirates",900.0,5:00,Bantamweight,2024-08-03,Blue,,U-DEC
Tony Ferguson,Michael Chiesa,"Abu Dhabi, Abu Dhabi, United Arab Emirates",224.0,3:44,Welterweight,2024-08-03,Blue,Rear Naked Choke,SUB
Mackenzie Dern,Loopy Godinez,"Abu Dhabi, Abu Dhabi, United Arab Emirates",900.0,5:00,Women's Strawweight,2024-08-03,Red,,U-DEC
Joel Alvarez,Elves Brener,"Abu Dhabi, Abu Dhabi, United Arab Emirates",816.0,3:36,Lightweight,2024-08-03,Red,Knees,KO/TKO
Azamat Murzakanov,Alonzo Menifield,"Abu Dhabi, Abu Dhabi, United Arab Emirates",498.0,3:18,Light Heavyweight,2024-08-03,Red,Punches,KO/TKO
Mohammad Yahya,Kaue Fernandes,"Abu Dhabi, Abu Dhabi, United Arab Emirates",285.0,4:45,Lightweight,2024-08-03,Blue,Punches,KO/TKO
Shamil Gaziev,Don'Tale Mayes,"Abu Dhabi, Abu Dhabi, United Arab Emirates",900.0,5:00,Heavyweight,2024-08-03,Red,,U-DEC
Guram Kutateladze,Jordan Vucenic,"Abu Dhabi, Abu Dhabi, United Arab Emirates",900.0,5:00,Lightweight,2024-08-03,Red,,U-DEC
Viktoriia Dudakova,Sam Hughes,"Abu Dhabi, Abu Dhabi, United Arab Emirates",900.0,5:00,Women's Strawweight,2024-08-03,Blue,,S-DEC
Jai Herbert,Rolando Bedoya,"Abu Dhabi, Abu Dhabi, United Arab Emirates",900.0,5:00,Lightweight,2024-08-03,Red,,U-DEC
Sedriques Dumas,Denis Tiuliulin,"Abu Dhabi, Abu Dhabi, United Arab Emirates",900.0,5:00,Middleweight,2024-08-03,Red,,U-DEC
Leon Edwards,Belal Muhammad,"Manchester, England, United Kingdom",1500.0,5:00,Welterweight,2024-07-27,Blue,,U-DEC
Tom Aspinall,Curtis Blaydes,"Manchester, England, United Kingdom",60.0,1:00,Heavyweight,2024-07-27,Red,Punch,KO/TKO
King Green,Paddy Pimblett,"Manchester, England, United Kingdom",202.0,3:22,Lightweight,2024-07-27,Blue,Triangle Choke,SUB
Christian Leroy Duncan,Gregory Rodrigues,"Manchester, England, United Kingdom",900.0,5:00,Middleweight,2024-07-27,Blue,,U-DEC
Arnold Allen,Giga Chikadze,"Manchester, England, United Kingdom",900.0,5:00,Featherweight,2024-07-27,Red,,U-DEC
Nathaniel Wood,Daniel Pineda,"Manchester, England, United Kingdom",900.0,5:00,Featherweight,2024-07-27,Red,,U-DEC
Molly McCann,Bruna Brasil,"Manchester, England, United Kingdom",900.0,5:00,Women's Strawweight,2024-07-27,Blue,,U-DEC
Jake Hadley,Caolan Loughran,"Manchester, England, United Kingdom",900.0,5:00,Bantamweight,2024-07-27,Red,,U-DEC
